name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
french fries,312.5,100.0,14.4,2.3,3.4,209,123,0,42.1,3.8,0.3
pizza,262.9,100.0,9.8,4.5,11.4,587,217,16,32.9,2.3,3.6
ice cream,207.1,100.0,11.0,6.8,3.5,78,103,44,23.6,0.7,21.3
soda,41.9,100.0,0.2,0.0,0.0,2,8,0,10.2,0.0,10.0
candy bars,486.2,100.0,23.5,9.1,7.6,242,189,12,60.6,2.3,50.0
cheeseburgers,269.4,100.0,14.4,7.0,15.4,588,180,47,19.6,1.2,3.6
fried chicken,261.5,100.0,14.6,4.1,28.7,85,187,90,3.1,0.1,0.0
hot dogs,321.4,100.0,29.9,11.5,11.8,864,137,58,2.6,0.0,1.3
potato chips,541.0,100.0,33.9,3.4,6.4,526,153,0,54.1,3.2,0.3
donuts,420.2,100.0,23.0,9.4,6.1,312,116,30,48.8,2.1,22.5
cookies,489.2,100.0,24.6,8.1,5.1,311,107,0,65.0,2.0,32.7
chocolate cake,391.8,100.0,19.9,5.9,3.5,348,135,22,52.5,2.2,39.6
cereals,369.6,100.0,6.7,1.5,12.2,487,473,0,72.5,9.4,4.4
fried mozzarella,330.0,100.0,18.0,6.8,14.6,875,318,35,24.6,2.0,2.4
nachos,225.2,100.0,17.3,7.1,12.2,315,168,52,4.8,0.7,1.8
fried onion,357.5,100.0,19.1,3.4,4.9,699,92,0,40.9,2.6,4.7
milkshakes,122.1,100.0,2.7,1.7,3.1,110,126,11,21.4,0.3,21.0
twinkies,371.2,100.0,11.6,4.1,3.5,479,187,40,65.2,1.0,37.4
bacon,466.4,100.0,34.9,12.0,34.0,1674,380,98,1.7,0.0,0.0
macaroni and cheese,185.2,100.0,8.3,1.8,4.9,340,112,3,24.1,1.2,4.3
calamari,194.2,100.0,13.4,1.2,10.8,481,151,150,8.3,0.8,0.4
soft drinks,41.1,100.0,0.3,0.0,0.0,3,9,0,10.2,0.0,9.9
burgers,242.7,100.0,11.8,4.6,15.1,354,141,53,17.7,0.0,0.0
popcorn with butter,536.5,100.0,30.4,14.6,8.3,754,274,0,56.5,10.1,0.3
pop tarts,375.0,100.0,9.0,3.1,4.0,308,71,0,73.1,1.8,31.0
chocolate bars,544.5,100.0,29.3,18.7,7.6,77,210,22,58.9,3.4,51.4
cheese puffs,549.2,100.0,35.7,5.5,5.8,884,110,3,53.6,2.2,2.7
energy drinks,43.4,100.0,0.0,0.0,0.5,39,0,0,10.4,0.0,10.1
frozen pizza,261.6,100.0,12.1,4.3,10.3,443,180,14,29.4,2.2,3.6
soup,24.6,100.0,1.0,0.3,1.3,343,16,4,2.9,0.2,0.3
jalapeno poppers,229.6,100.0,21.1,12.1,4.0,232,76,69,4.9,1.0,3.6
fried fish,227.4,100.0,13.5,3.3,18.2,275,213,71,8.1,0.7,0.0
brownies,460.4,100.0,29.6,7.4,6.2,338,132,71,50.2,0.0,0.0
margarine,700.5,100.0,80.7,15.4,0.1,1,4,0,0.7,0.0,0.0
white bread,258.5,100.0,3.3,0.7,8.9,494,97,0,49.3,2.7,5.6
instant noodles,69.3,100.0,2.6,1.2,1.7,287,17,0,9.1,0.5,0.2
yogurt,64.2,100.0,1.6,1.0,5.3,69,145,5,7.2,0.0,7.1
maraschino cherries,163.6,100.0,0.2,0.0,0.2,4,2,0,41.6,3.2,38.6
doritos,506.2,100.0,26.9,3.9,7.3,697,249,0,61.4,5.2,2.6
nesquik,404.3,100.0,2.3,2.3,4.6,137,86,0,91.0,4.4,81.7
chocolate milk,81.7,100.0,3.4,2.1,3.2,60,102,11,10.5,0.8,9.5
cheese,393.9,100.0,33.0,18.9,22.7,661,459,100,3.2,0.0,0.5
pancakes,227.0,100.0,9.4,3.4,6.1,466,93,38,33.8,1.1,6.4
fried eggs,196.0,100.0,14.5,4.8,13.3,364,138,423,0.7,0.0,0.6
mashed potatoes,83.0,100.0,3.6,2.2,1.8,407,429,6,12.2,1.5,0.8
sweet potatoes,86.0,100.0,0.1,0.0,1.6,55,337,0,20.1,3.0,4.2
corn,96.0,100.0,1.2,0.2,3.4,27,270,0,21.3,2.4,3.4
butternut squash,45.0,100.0,0.1,0.0,1.0,3,352,0,11.7,2.0,2.2
acorn squash,40.0,100.0,0.1,0.0,1.0,4,347,0,10.4,1.5,0.4
pumpkin,26.0,100.0,0.1,0.0,1.0,1,340,0,6.5,0.5,2.8
plantains,122.0,100.0,0.4,0.1,1.3,4,499,0,31.9,2.3,15.4
yuca,131.0,100.0,0.3,0.0,1.4,9,271,0,33.8,1.8,0.9
parsnips,75.0,100.0,0.5,0.1,1.2,10,375,0,17.0,4.9,3.8
beets,43.0,100.0,0.1,0.0,1.6,64,325,0,9.6,2.8,6.8
carrots,41.0,100.0,0.2,0.0,0.9,69,320,0,9.6,2.8,4.7
turnips,28.0,100.0,0.1,0.0,1.0,67,233,0,6.4,1.8,3.8
cassava,160.0,100.0,0.3,0.1,1.4,14,271,0,38.1,1.8,3.4
rutabaga,35.0,100.0,0.1,0.0,1.2,12,305,0,8.2,2.3,4.5
Jerusalem artichoke,73.0,100.0,0.1,0.0,2.0,4,429,0,17.5,1.6,3.4
taro,112.0,100.0,0.2,0.1,1.5,11,456,0,26.5,4.1,0.5
